sitename,PISCO_CODE,lat,lon
SALMON_CREEK_UC,SSLC01,35.808100,-121.374967
SAL_CEN,SSAL06,34.871917,-120.632567
SAL_FAR_WEST,SSAL04,34.873317,-120.633567
SAL_N,SSAL03,34.873150,-120.634483
SAL_S,SSAL02,34.871733,-120.630083
SAL_W,SSAL01,34.872667,-120.632700
SANDHILL_DC,SSNH02,36.972931,-122.149429
SANDHILL_UC,SSNH01,36.974306,-122.152109
SAN_SIMEON_BAY_CEN,SSMB01,35.624050,-121.164699
SAN_SIMEON_DC,SSSM02,35.631667,-121.190248
SAN_SIMEON_UC,SSSM01,35.630567,-121.194940
SBI_ARCH_POINT_CEN,SAPT03,33.485617,-119.028767
SBI_ARCH_POINT_N,SAPT02,33.487500,-119.027217
SBI_ARCH_POINT_S,SAPT01,33.482883,-119.029000
SBI_CAT_CANYON_CEN,SCCN02,33.464400,-119.039150
SBI_CAT_CANYON_W,SCCN01,33.464417,-119.044083
SBI_GRAVEYARD_CANYON_CEN,SGRC02,33.473067,-119.026850
SBI_GRAVEYARD_CANYON_N,SGRC01,33.475150,-119.024767
SBI_SOUTHEAST_REEF_CEN,SSRE02,33.462933,-119.031267
SBI_SOUTHEAST_REEF_S,SSRE01,33.458967,-119.033183
SBI_SOUTHEAST_SEA_LION_CEN,SSLN02,33.466100,-119.027783
SBI_SOUTHEAST_SEA_LION_N,SSLN01,33.470617,-119.028117
SBI_WEBSTERS_ARCH_CEN,SWBA03,33.480033,-119.062100
SBI_WEBSTERS_ARCH_E,SWBA02,33.478767,-119.053550
SBI_WEBSTERS_ARCH_N,SWBA01,33.490300,-119.049217
SCI_CAVERN_POINT_E,SCAV02,34.054283,-119.566867
SCI_CAVERN_POINT_W,SCAV01,34.052750,-119.571300
SCI_COCHE_POINT_E,SCCH02,34.044933,-119.601400
SCI_COCHE_POINT_W,SCCH01,34.042650,-119.604000
SCI_FORNEY_E,SFOR02,34.051483,-119.909667
SCI_FORNEY_W,SFOR01,34.053883,-119.918200
SCI_GULL_ISLE_E,SGLI02,33.946467,-119.823183
SCI_GULL_ISLE_W,SGLI01,33.948167,-119.827950
SCI_HAZARDS_CEN,SHAZ03,34.056583,-119.821167
SCI_HAZARDS_E,SHAZ02,34.054383,-119.819350
SCI_HAZARDS_W,SHAZ01,34.058100,-119.824833
SCI_LITTLE_SCORPION_E,SLSC02,34.043400,-119.535733
SCI_LITTLE_SCORPION_W,SLSC01,34.044150,-119.542450
SCI_PAINTED_CAVE_CEN,SPTC03,34.072867,-119.870983
SCI_PAINTED_CAVE_E,SPTC02,34.071900,-119.857550
SCI_PAINTED_CAVE_W,SPTC01,34.074483,-119.882133
SCI_PELICAN_CEN,SPEL04,34.030650,-119.696650
SCI_PELICAN_E,SPEL03,34.028050,-119.690917
SCI_PELICAN_FAR_WEST,SPEL02,34.032400,-119.698883
SCI_PELICAN_W,SPEL01,34.035867,-119.702300
SCI_POTATO_PASTURE_E,SPOP02,34.050983,-119.575883
SCI_POTATO_PASTURE_W,SPOP01,34.052167,-119.582117
SCI_SAN_PEDRO_POINT_E,SSPP02,34.038367,-119.525300
SCI_SAN_PEDRO_POINT_W,SSPP01,34.042250,-119.531600
SCI_SCORPION_ANCHORAGE_CEN,SSCA01,34.047983,-119.551400
SCI_SCORPION_E,SSCP02,34.048467,-119.546367
SCI_SCORPION_W,SSCP01,34.052500,-119.555250
SCI_VALLEY_CEN,SVAL03,33.983617,-119.638400
SCI_VALLEY_E,SVAL02,33.983550,-119.620317
SCI_VALLEY_W,SVAL01,33.981700,-119.663700
SCI_YELLOWBANKS_CEN,SYEL03,33.988533,-119.546983
SCI_YELLOWBANKS_E,SYEL02,34.000433,-119.545933
SCI_YELLOWBANKS_W,SYEL01,33.989300,-119.564933
SIREN_CEN,SSRN01,36.630734,-121.918590
SMI_BAY_POINT_CEN,SBPT01,34.037650,-120.309950
SMI_CROOK_POINT_E,SCRK02,34.015867,-120.330500
SMI_CROOK_POINT_W,SCRK01,34.013850,-120.337333
SMI_CUYLER_E,SCUY02,34.051717,-120.346183
SMI_CUYLER_W,SCUY01,34.057050,-120.352600
SMI_HARRIS_PT_RESERVE_E,SHPT02,34.052783,-120.337383
SMI_HARRIS_PT_RESERVE_W,SHPT01,34.063683,-120.355983
SMI_TYLER_BIGHT_E,STYB02,34.025467,-120.406700
SMI_TYLER_BIGHT_W,STYB01,34.027292,-120.411744
SOBERANES_CEN,SSOB01,36.445343,-121.929144
SOUTH_WRECK_DC,SSWR02,36.223864,-121.787408
SOUTH_WRECK_UC,SSWR01,36.225295,-121.790545
SPANISH_BAY_DC,SSPB02,36.616662,-121.954606
SPANISH_BAY_UC,SSPB01,36.618809,-121.953837
SPROUTS_CEN,SPRT01,36.946942,-122.073159
SRI_BEACON_REEF_E,SBEA02,34.037383,-120.038000
SRI_BEACON_REEF_W,SBEA01,34.040667,-120.043233
SRI_BEE_ROCK_E,SBEE02,33.947800,-120.210550
SRI_BEE_ROCK_W,SBEE01,33.953900,-120.211900
SRI_CARRINGTON_CEN,SCRR03,34.037782,-120.059530
SRI_CARRINGTON_E,SCRR02,34.041424,-120.042560
SRI_CARRINGTON_W,SCRR01,34.031681,-120.070100
SRI_CHICKASAW_E,SCHK02,33.900167,-120.136367
SRI_CHICKASAW_W,SCHK01,33.901117,-120.139750
SRI_CLUSTER_POINT_N,SCPT02,33.931667,-120.197417
SRI_CLUSTER_POINT_S,SCPT01,33.923833,-120.192000
SRI_FORD_POINT_CEN,SFPT01,33.947800,-120.210429
SRI_JOHNSONS_LEE_NORTH_E,SJLN02,33.902950,-120.099167
SRI_JOHNSONS_LEE_NORTH_W,SJLN01,33.900900,-120.099150
SRI_JOHNSONS_LEE_SOUTH_E,SJLS02,33.897433,-120.100383
SRI_JOHNSONS_LEE_SOUTH_W,SJLS01,33.895133,-120.104317
SRI_JOLLA_VIEJA_E,SJLV02,33.906833,-120.067450
SRI_JOLLA_VIEJA_W,SJLV01,33.906350,-120.069700
SRI_MONACOS_E,SMNC02,33.983667,-120.010083
SRI_MONACOS_W,SMNC01,33.987967,-120.011700
SRI_RODES_REEF_E,SRRE02,34.032500,-120.107200
SRI_RODES_REEF_W,SRRE01,34.031188,-120.108810
SRI_SOUTH_POINT_E,SSOP02,33.891567,-120.119200
SRI_SOUTH_POINT_W,SSOP01,33.894167,-120.124883
SRI_TRANCION_CANYON_E,STRC02,33.907250,-120.153000
SRI_TRANCION_CANYON_W,STRC01,33.910350,-120.159117
STILLWATER_DC,SSTL02,36.559729,-121.944014
STILLWATER_UC,SSTL01,36.560116,-121.947320
STOCKTON_CEN,SSTK01,36.946228,-122.050010
SURF_CEN,SSRF01,34.630220,-120.642520
TENERA_CEN,STNR01,35.238631,-120.895481
TERRACE_DC,STER02,36.944871,-122.064289
TERRACE_UC,STER01,36.944908,-122.066281
THREE_MILE_CEN,STHM01,36.957757,-122.120067
TORRE_CANYON_CEN,STOR01,36.184218,-121.707798
VANDENBERG_DC,SVND02,34.740647,-120.642158
VANDENBERG_UC,SVND01,34.749687,-120.648418
WESTON_DC,SWES02,36.510347,-121.945786
WESTON_UC,SWES01,36.512613,-121.948765
WHALEBOAT_DC,SWLB02,35.861105,-121.435647
WHALEBOAT_UC,SWLB01,35.864211,-121.441191
WHITE_ROCK_DC,SWHR02,35.525649,-121.084627
WHITE_ROCK_UC,SWHR01,35.527100,-121.089899
