PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
7.287309184,1.181918065,0 to -30m,1149,1149n,292.0583144,118.1918065,n,2,2015,1149n,0.4579,0,0.330159,-0.014539,14
2.536720155,0.355512174,-30 to -60m,1150,1150o,87.84897139,35.55121741,o,3,2015,1150o,0,0,0.330159,-0.021881,14
3.698506879,0.602351676,-30 to -60m,1147,1147o,148.8443408,60.23516763,o,3,2015,1147o,0,0,0.346032,-0.001198,14
2.667851015,0.380159233,-30 to -60m,1152,1152o,93.93939226,38.01592329,o,3,2015,1152o,0,0,0.107937,-0.037499,14
4.98534366,0.864146238,-30 to -60m,1145,1145o,213.5351859,86.41462384,o,3,2015,1145o,0,0,0.346032,0.010119,14
3.29728311,0.455184665,0 to -30m,1115,1115n,112.4785802,45.51846647,n,2,2015,1115n,0.87123,0.047619,0.698413,0.130458,14
3.330648463,0.567143743,0 to -30m,1117,1117n,140.1442709,56.71437428,n,2,2015,1117n,1.441526,0.092105,1.31746,0.133151,14
3.852863243,0.728687581,0 to -30m,1121,1121n,180.0626227,72.86875813,n,2,2015,1121n,2.014606,0.075,2.047619,0.131865,14
3.773600696,0.682616326,0 to -30m,1119,1119n,168.6781675,68.26163255,n,2,2015,1119n,1.946121,0.078947,1.952381,0.1337,14
4.42940263,0.763474038,0 to -30m,1123,1123n,188.6585434,76.34740379,n,2,2015,1123n,2.207215,0.065217,2.333333,0.127213,14
5.013290508,0.802742863,0 to -30m,1125,1125n,198.3620814,80.27428629,n,2,2015,1125n,2.21889,0.064748,2.349206,0.119867,14
5.734875783,1.089524719,0 to -30m,1127,1127n,269.2274212,108.9524719,n,2,2015,1127n,2.21889,0.065217,2.333333,0.109136,14
6.172799741,1.212585303,0 to -30m,1129,1129n,299.6363539,121.2585303,n,2,2015,1129n,2.209573,0.065217,2.333333,0.093926,14
6.672157057,1.149334819,0 to -30m,1131,1131n,284.0068189,114.9334819,n,2,2015,1131n,2.530289,0.059603,2.539683,0.074304,14
5.662677202,1.243801263,0 to -30m,1135,1135n,307.3499855,124.3801263,n,2,2015,1135n,2.072598,0.052317,2.234921,0.052541,14
6.888556801,1.399119279,0 to -30m,1133,1133n,345.7299032,139.9119279,n,2,2015,1133n,2.177828,0.050072,2.330159,0.059893,14
4.832463409,0.773550738,0 to -30m,1137,1137n,191.1485502,77.35507382,n,2,2015,1137n,1.750375,0.052265,1.91746,0.04466,14
4.056572833,0.722684147,0 to -30m,1139,1139n,178.5791418,72.2684147,n,2,2015,1139n,1.164648,0,1.234921,0.036702,14
3.937453247,0.604725445,0 to -30m,1141,1141n,149.4309118,60.4725445,n,2,2015,1141n,0.767263,0,0.711111,0.02865,14
4.241052138,0.856443989,0 to -30m,1143,1143n,211.6319187,85.64439895,n,2,2015,1143n,0.523265,0,0.393651,0.019968,14
3.24712858,0.352677735,0 to -30m,1116,1116n,87.14856617,35.26777347,n,2,2015,1116n,0.971478,0.0625,0.809524,0.132052,14
3.300959653,0.431742145,0 to -30m,1114,1114n,106.6858075,43.17421452,n,2,2015,1114n,0.740322,0.121212,0.587302,0.128498,14
3.778052021,0.629618089,0 to -30m,1122,1122n,155.5820181,62.96180891,n,2,2015,1122n,2.185684,0.066176,2.301587,0.129875,14
3.113146584,0.398069182,0 to -30m,1112,1112n,98.36503701,39.80691818,n,2,2015,1112n,1.382191,0.147541,1.111111,0.122692,14
3.588087504,0.539605445,0 to -30m,1118,1118n,133.3394094,53.96054451,n,2,2015,1118n,1.561042,0.108434,1.460317,0.133723,14
3.479824346,0.513734344,0 to -30m,1120,1120n,126.946521,51.3734344,n,2,2015,1120n,1.981917,0.076923,2,0.133084,14
5.457603133,1.02405823,0 to -30m,1126,1126n,253.0502996,102.405823,n,2,2015,1126n,2.21889,0.065217,2.333333,0.114948,14
5.954294714,1.134266563,0 to -30m,1128,1128n,280.2833716,113.4266563,n,2,2015,1128n,2.237487,0.064748,2.349206,0.102029,14
6.450564767,1.262377605,0 to -30m,1130,1130n,311.9402996,126.2377605,n,2,2015,1130n,2.231391,0.064748,2.349206,0.084549,14
6.967463691,1.408723053,0 to -30m,1132,1132n,348.1030473,140.8723053,n,2,2015,1132n,2.488947,0.060403,2.507937,0.063101,14
6.486235373,1.290188308,0 to -30m,1134,1134n,318.8124739,129.0188308,n,2,2015,1134n,2.13147,0.05117,2.28254,0.056345,14
4.051910599,0.763316972,0 to -30m,1110,1110n,188.6197317,76.33169725,n,2,2015,1110n,1.412068,0.193548,1.174603,0.115103,13
3.95382427,0.6185146,0 to -30m,1142,1142n,152.8382862,61.85146002,n,2,2015,1142n,0.713286,0,0.647619,0.024423,14
4.111440754,0.605628881,0 to -30m,1144,1144n,149.6541557,60.56288813,n,2,2015,1144n,0.522127,0,0.361905,0.015218,14
4.851372788,0.87378623,0 to -30m,1108,1108n,215.9172796,87.37862296,n,2,2015,1108n,1.830036,0.182927,1.539683,0.106398,13
5.190009303,0.821641316,-30 to -60m,1106,1106o,203.0319909,82.16413162,o,3,2015,1106o,0.080785,0.185185,1.52381,0.096682,13
5.676750633,0.764391838,-30 to -60m,1104,1104o,188.8853368,76.43918382,o,3,2015,1104o,0.036665,0.186047,1.619048,0.086391,13
6.102052973,0.866423395,-30 to -60m,1102,1102o,214.0978836,86.64233953,o,3,2015,1102o,0.036665,0.178947,1.777778,0.07542,13
6.160651952,1.058296298,-30 to -60m,1100,1100o,261.5107105,105.8296298,o,3,2015,1100o,0.036665,0.211009,2.095238,0.063852,13
6.195033333,1.136184792,-30 to -60m,1098,1098o,280.7573763,113.6184792,o,3,2015,1098o,0.036665,0.260563,2.84127,0.051538,13
6.126309636,0.743173086,-30 to -60m,1096,1096o,183.6420689,74.31730859,o,3,2015,1096o,0.036665,0.256944,2.873016,0.037977,13
