21,sitename,PISCO_CODE,PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
21,ANDREW_MOLERA_DC,SAMO02,4.701600878,0.650261073,0 to -30m,517,517n,160.6830105,65.02610729,n,2,2016,517n,3.492088,0.10303,2.888889,0.191731,6
21,ANDREW_MOLERA_DC,SAMO02,5.112663504,0.738987154,0 to -30m,516,516n,182.6077026,73.8987154,n,2,2016,516n,3.192897,0.084848,2.84127,0.191558,6
21,ANDREW_MOLERA_DC,SAMO02,5.875449031,1.149242499,0 to -30m,515,515n,283.9840062,114.9242499,n,2,2016,515n,2.930546,0.099448,3.15873,0.190996,6
21,ANDREW_MOLERA_DC,SAMO02,5.92913335,0.923849223,0 to -30m,514,514n,228.2881146,92.38492227,n,2,2016,514n,2.966994,0.101064,3.285714,0.19024,6
21,ANDREW_MOLERA_DC,SAMO02,6.40246482,1.272016305,0 to -30m,513,513n,314.3220742,127.2016305,n,2,2016,513n,3.088944,0.09596,3.444444,0.189284,6
21,ANDREW_MOLERA_DC,SAMO02,6.03640825,1.059856119,0 to -30m,511,511n,261.8961506,105.9856119,n,2,2016,511n,3.906328,0.103896,4.047619,0.186379,6
21,ANDREW_MOLERA_DC,SAMO02,5.0343263,0.79540934,0 to -30m,509,509n,196.5499283,79.54093396,n,2,2016,509n,4.044109,0.102128,4.111111,0.182202,6
21,ANDREW_MOLERA_DC,SAMO02,6.30922107,1.183010129,0 to -30m,512,512n,292.3281691,118.3010129,n,2,2016,512n,3.650098,0.099099,3.873016,0.18797,6
21,ANDREW_MOLERA_DC,SAMO02,5.300337412,1.089453347,0 to -30m,510,510n,269.2097849,108.9453347,n,2,2016,510n,4.058506,0.105932,4.142857,0.184474,6
21,ANDREW_MOLERA_DC,SAMO02,3.575100807,0.588511199,-30 to -60m,513,513o,145.4242843,58.85111989,o,3,2016,513o,0,0.09596,3.444444,0.189284,6
21,ANDREW_MOLERA_DC,SAMO02,2.934284852,0.457891242,-30 to -60m,515,515o,113.1473899,45.78912415,o,3,2016,515o,0,0.099448,3.15873,0.190996,6
21,ANDREW_MOLERA_DC,SAMO02,2.326026247,0.269762145,-30 to -60m,517,517o,66.65967777,26.97621451,o,3,2016,517o,0,0.10303,2.888889,0.191731,6
21,ANDREW_MOLERA_DC,SAMO02,2.268314585,0.265742269,-30 to -60m,518,518o,65.66634475,26.5742269,o,3,2016,518o,0,0.107595,2.777778,0.191563,6
21,ANDREW_MOLERA_DC,SAMO02,2.429207101,0.288330038,-30 to -60m,516,516o,71.24790406,28.83300381,o,3,2016,516o,0,0.084848,2.84127,0.191558,6
21,ANDREW_MOLERA_DC,SAMO02,3.093634075,0.454296872,-30 to -60m,514,514o,112.2592019,45.4296872,o,3,2016,514o,0,0.101064,3.285714,0.19024,6
21,ANDREW_MOLERA_DC,SAMO02,2.694649167,0.441929625,-30 to -60m,519,519o,109.2031886,44.19296251,o,3,2016,519o,0,0.084416,2.650794,0.191127,6
21,ANDREW_MOLERA_DC,SAMO02,4.504552492,0.762393689,0 to -30m,519,519n,188.3915834,76.23936892,n,2,2016,519n,3.31563,0.084416,2.650794,0.191127,6
21,ANDREW_MOLERA_DC,SAMO02,4.147413594,0.487923717,0 to -30m,518,518n,120.5685763,48.79237174,n,2,2016,518n,3.369868,0.107595,2.777778,0.191563,6
22,ANDREW_MOLERA_DC,SAMO02,3.527899907,0.587154177,0 to -30m,520,520n,145.0889569,58.71541771,n,2,2016,520n,3.386022,0.09396,2.587302,0.190507,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,3.147155613,0.369734825,0 to -30m,498,498n,91.36346496,36.9734825,n,2,2016,498n,4.036129,0.190476,3.174603,0.144721,5
22,ANDREW_MOLERA_OLD_DC,SAMO03,3.316062143,0.488822217,0 to -30m,497,497n,120.7906003,48.88222168,n,2,2016,497n,3.803114,0.170886,2.936508,0.141456,5
22,ANDREW_MOLERA_OLD_DC,SAMO03,2.178110422,0.240766194,0 to -30m,499,499n,59.49462212,24.07661936,n,2,2016,499n,4.301208,0.175824,3.396825,0.148044,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,4.117208563,0.562316082,0 to -30m,500,500n,138.9513299,56.23160819,n,2,2016,500n,3.348421,0.175325,2.873016,0.151424,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,5.252070369,1.056054932,-30 to -60m,498,498o,260.9568567,105.6054932,o,3,2016,498o,0,0.190476,3.174603,0.144721,5
22,ANDREW_MOLERA_OLD_DC,SAMO03,5.011606266,0.844547854,-30 to -60m,499,499o,208.6923196,84.45478538,o,3,2016,499o,0,0.175824,3.396825,0.148044,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,5.346815287,0.862562906,0 to -30m,507,507n,213.1439359,86.25629058,n,2,2016,507n,4.044109,0.102128,4.111111,0.176533,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,5.665512558,1.166705004,0 to -30m,505,505n,288.2990851,116.6705004,n,2,2016,505n,4.09553,0.101266,4.142857,0.169461,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,5.057609228,1.062507174,0 to -30m,503,503n,262.5512405,106.2507174,n,2,2016,503n,4.167354,0.101266,4.142857,0.162114,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,4.338558475,0.64654821,0 to -30m,501,501n,159.7655421,64.65482101,n,2,2016,501n,3.152145,0.16,2.761905,0.154949,6
22,ANDREW_MOLERA_OLD_DC,SAMO03,4.649457749,0.84235026,0 to -30m,508,508n,208.1492824,84.23502605,n,2,2016,508n,4.044109,0.102128,4.111111,0.179542,6
