Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
2012.0,1046o,0.043061,0.0,0.126984,-0.226949,13.0
2012.0,1044o,0.034247,0.0,0.111111,-0.236413,13.0
2012.0,1042o,0.034247,0.0,0.111111,-0.244477,13.0
2012.0,1040o,0.028304,0.0,0.095238,-0.25124,13.0
2012.0,1038o,0.028304,0.0,0.079365,-0.25669,13.0
2012.0,1036o,0.028304,0.0,0.079365,-0.26083,13.0
2012.0,1034o,0.028304,0.0,0.063492,-0.262629,13.0
2012.0,1032o,0.021215,0.25,0.079365,-0.260486,13.0
2012.0,1029n,0.210105,0.272727,0.222222,-0.251855,13.0
2012.0,1027o,0.006166,0.142857,0.380952,-0.246125,13.0
2012.0,1025o,0.006166,0.136364,0.396825,-0.240398,13.0
2012.0,1023o,0.006166,0.136364,0.396825,-0.234709,13.0
2012.0,1021o,0.006166,0.136364,0.396825,-0.228368,13.0
2012.0,1019o,0.006166,0.136364,0.396825,-0.221377,13.0
2012.0,1017o,0.006166,0.136364,0.396825,-0.213949,13.0
2012.0,1015o,0.006166,0.136364,0.396825,-0.207113,13.0
2012.0,1013o,0.006166,0.136364,0.396825,-0.201197,13.0
2012.0,1011n,0.383482,0.090909,0.380952,-0.196661,13.0
2012.0,1009n,0.257842,0.133333,0.269841,-0.193941,13.0
2012.0,1007n,0.099559,0.0,0.095238,-0.192829,13.0
2012.0,1005n,0.040143,0.0,0.079365,-0.193115,13.0
2012.0,1003n,0.053747,0.0,0.111111,-0.194386,13.0
2012.0,1001o,0.022648,0.0,0.142857,-0.196669,13.0
2012.0,999o,0.022648,0.0,0.15873,-0.199872,13.0
2012.0,1094n,3.02964,0.205882,2.603175,-0.040981,13.0
2012.0,1092n,2.739705,0.204918,2.333333,-0.031847,13.0
2012.0,1090n,2.966425,0.202899,2.634921,-0.02377,13.0
2012.0,1088n,2.939843,0.20438,2.619048,-0.017715,13.0
2012.0,1086n,2.925434,0.20438,2.619048,-0.013449,13.0
2012.0,1084n,2.769515,0.180451,2.492063,-0.010622,13.0
2012.0,1082n,3.025581,0.181208,2.793651,-0.009579,13.0
2012.0,1080n,2.590052,0.167939,2.428571,-0.010506,13.0
2012.0,1069n,0.467512,0.133333,0.539683,-0.05763,13.0
2012.0,1071n,1.026478,0.152542,1.079365,-0.04406,13.0
2012.0,1078n,1.848465,0.193878,1.857143,-0.012907,13.0
2012.0,1073n,1.026478,0.152542,1.079365,-0.030748,13.0
2012.0,1076n,1.314056,0.148649,1.349206,-0.017485,13.0
2012.0,1067n,0.454731,0.137931,0.52381,-0.071601,13.0
2012.0,1065n,0.429483,0.142857,0.507937,-0.086056,13.0
2012.0,1063n,0.315596,0.15,0.365079,-0.101207,13.0
2012.0,1061n,0.0,0.0,0.031746,-0.117158,13.0
2012.0,1059n,0.010513,0.0,0.047619,-0.133588,13.0
2012.0,1057n,0.010513,0.0,0.047619,-0.149919,13.0
2012.0,1055n,0.021135,0.0,0.063492,-0.165914,13.0
2012.0,1053o,0.021845,0.0,0.079365,-0.181515,13.0
2012.0,1051o,0.035801,0.0,0.111111,-0.196385,13.0
2012.0,1049o,0.035801,0.0,0.111111,-0.20992,13.0
2012.0,1047o,0.043061,0.0,0.126984,-0.221719,13.0
2012.0,1045o,0.043061,0.0,0.126984,-0.231849,13.0
2012.0,1043o,0.034247,0.0,0.111111,-0.240627,13.0
2012.0,1041o,0.028304,0.0,0.095238,-0.248015,13.0
2012.0,1039o,0.028304,0.0,0.095238,-0.25409,13.0
2012.0,1037o,0.028304,0.0,0.079365,-0.259012,13.0
2012.0,1035o,0.028304,0.0,0.079365,-0.262079,13.0
2012.0,1033o,0.028304,0.0,0.063492,-0.262143,13.0
2012.0,1030n,0.148455,0.111111,0.15873,-0.254708,13.0
2012.0,1028n,0.306737,0.166667,0.333333,-0.248988,13.0
2012.0,1026n,0.394175,0.136364,0.396825,-0.243239,13.0
2012.0,1024n,0.394175,0.136364,0.396825,-0.23761,13.0
2012.0,1022n,0.394175,0.136364,0.396825,-0.231636,13.0
2012.0,1020n,0.394175,0.136364,0.396825,-0.224948,13.0
2012.0,1018n,0.394175,0.136364,0.396825,-0.217646,13.0
2012.0,1016n,0.394175,0.136364,0.396825,-0.210437,13.0
2012.0,1014n,0.394175,0.136364,0.396825,-0.204032,13.0
2012.0,1012o,0.006166,0.136364,0.396825,-0.198712,13.0
2012.0,1010o,0.006166,0.090909,0.380952,-0.195115,13.0
