PERIMETER,AREA,DEPTH,ATOS_ID,HAB_ID,ACRES,HECTARES,ZONE_CODE,ZONE,Year,POLY_ID,dens_sm,pupratio,lin_dens,trend5yr,Sect_ID
5.487157308,1.088532182,0 to -30m,747,747n,268.98216,108.8532182,n,2,2016,747n,6.349674,0.133523,6.333333,0.076551,9
4.912743128,0.813577651,0 to -30m,745,745n,201.0394159,81.35776515,n,2,2016,745n,6.223889,0.125,6.285714,0.073294,9
4.244424222,0.683271217,0 to -30m,743,743n,168.8399946,68.32712166,n,2,2016,743n,6.831614,0.141414,7.174603,0.070008,9
5.586966162,1.038879056,0 to -30m,740,740n,256.7126055,103.8879056,n,2,2016,740n,6.326824,0.147849,6.777778,0.065244,9
5.729960642,0.936778901,0 to -30m,738,738n,231.4831076,93.67789006,n,2,2016,738n,5.781897,0.153179,6.333333,0.062259,9
6.610218285,1.0133612,0 to -30m,736,736n,250.4070058,101.33612,n,2,2016,736n,5.594803,0.183976,6.333333,0.05953,9
5.004694198,0.47353549,-30 to -60m,734,734o,117.0131678,47.35354897,o,3,2016,734o,0,0.192547,6.095238,0.057101,9
5.120261382,0.522302378,-30 to -60m,732,732o,129.0637284,52.23023781,o,3,2016,732o,0,0.184615,6.111111,0.054833,8
5.152101909,0.915997937,-30 to -60m,730,730o,226.3480196,91.59979368,o,3,2016,730o,0,0.195195,6.31746,0.052593,8
4.497127303,0.783248838,-30 to -60m,722,722o,193.5450029,78.32488381,o,3,2016,722o,0,0.29588,5.492063,0.043974,8
6.561519926,0.911102226,-30 to -60m,822,822o,225.138263,91.11022257,o,3,2016,822o,0.309867,0.104294,2.857143,-0.108551,10
6.882815139,0.972899303,-30 to -60m,820,820o,240.4086535,97.28993035,o,3,2016,820o,0.256313,0.110429,2.873016,-0.10646,10
7.501575802,1.097596237,-30 to -60m,818,818o,271.2219369,109.7596237,o,3,2016,818o,0.226292,0.096447,3.428571,-0.103754,10
7.4923397,1.16406716,-30 to -60m,816,816o,287.6472597,116.406716,o,3,2016,816o,0.204429,0.101942,3.603175,-0.100988,10
7.487919332,1.093771373,-30 to -60m,814,814o,270.2767924,109.3771373,o,3,2016,814o,0.190803,0.096774,2.698413,-0.098209,10
6.996303312,1.083960213,-30 to -60m,812,812o,267.8524019,108.3960213,o,3,2016,812o,0.163003,0.120419,3.396825,-0.095337,10
6.144285654,0.889202237,-30 to -60m,810,810o,219.7266579,88.92022366,o,3,2016,810o,0.067258,0.136585,3.698413,-0.092203,10
5.617159436,0.901627575,-30 to -60m,808,808o,222.7970257,90.16275745,o,3,2016,808o,0.090222,0.14486,3.888889,-0.088691,10
5.191447216,0.660026295,-30 to -60m,806,806o,163.0960494,66.00262951,o,3,2016,806o,0.113584,0.166667,4.333333,-0.084964,9
4.013686698,0.376875285,-30 to -60m,802,802o,93.12791109,37.68752851,o,3,2016,802o,0.125747,0.215247,4.301587,-0.075456,9
4.772814592,0.463187704,-30 to -60m,804,804o,114.4561744,46.31877044,o,3,2016,804o,0.113584,0.181818,4.126984,-0.080777,9
4.097390404,0.584067244,-30 to -60m,800,800o,144.3261592,58.40672444,o,3,2016,800o,0.111853,0.237548,5.126984,-0.068755,9
4.398192781,0.652349719,-30 to -60m,798,798o,161.1991261,65.23497189,o,3,2016,798o,0.160225,0.247191,5.285714,-0.06076,9
4.569271914,0.684695136,-30 to -60m,796,796o,169.1918528,68.4695136,o,3,2016,796o,0.180582,0.277551,4.968254,-0.051689,9
4.46522012,0.610865742,-30 to -60m,793,793o,150.9482121,61.08657416,o,3,2016,793o,0.157765,0.270642,4.396825,-0.03672,9
4.88119047,0.977476276,-30 to -60m,791,791o,241.5396481,97.74762761,o,3,2016,791o,0.157765,0.252475,4.015873,-0.026151,9
4.619344147,0.906885036,-30 to -60m,788,788o,224.0961729,90.68850364,o,3,2016,788o,0.134801,0.244792,3.793651,-0.010322,9
4.077180851,0.713383757,-30 to -60m,786,786o,176.2809655,71.33837572,o,3,2016,786o,0.111439,0.236559,3.650794,-3.40E-05,9
3.614809279,0.596797772,-30 to -60m,784,784o,147.4719412,59.67977723,o,3,2016,784o,0.111439,0.22905,3.492063,0.010098,9
3.568131711,0.695601895,-30 to -60m,782,782o,171.8869715,69.56018946,o,3,2016,782o,0.086784,0.222857,3.396825,0.019884,9
3.44523241,0.637316641,-30 to -60m,780,780o,157.4843716,63.73166406,o,3,2016,780o,0.086784,0.186047,2.428571,0.029204,9
3.284254018,0.587114018,-30 to -60m,778,778o,145.0790333,58.71140176,o,3,2016,778o,0.086784,0.155556,2.47619,0.037626,9
3.567501615,0.591148505,-30 to -60m,776,776o,146.0759769,59.11485052,o,3,2016,776o,0,0.129032,2.222222,0.045283,9
3.904476739,0.732931287,-30 to -60m,774,774o,181.1112652,73.29312866,o,3,2016,774o,0,0.185185,3.047619,0.052263,9
3.834904033,0.678411835,-30 to -60m,772,772o,167.6392153,67.84118351,o,3,2016,772o,0,0.188679,3,0.058729,9
4.60656049,0.760002706,-30 to -60m,770,770o,187.8007585,76.00027055,o,3,2016,770o,0,0.213542,3.698413,0.064761,9
5.017121709,0.901312115,-30 to -60m,768,768o,222.7190739,90.13121148,o,3,2016,768o,0.018742,0.200957,3.984127,0.070185,9
5.31368185,0.993069944,-30 to -60m,766,766o,245.3929274,99.30699442,o,3,2016,766o,0.018742,0.217391,4,0.07487,9
4.784837098,1.018046525,-30 to -60m,764,764o,251.5647749,101.8046525,o,3,2016,764o,0.018742,0.213592,3.968254,0.078728,9
4.421552693,0.790596006,-30 to -60m,762,762o,195.3605275,79.05960056,o,3,2016,762o,0.018742,0.190698,4.063492,0.08173,9
4.452234005,0.832285187,-30 to -60m,760,760o,205.6621486,83.22851868,o,3,2016,760o,0.03491,0.198198,4.222222,0.083794,9
4.267287501,0.807950745,-30 to -60m,758,758o,199.6489769,80.79507445,o,3,2016,758o,0.068487,0.168675,4.619048,0.084945,9
4.342112263,0.623484292,-30 to -60m,756,756o,154.0663238,62.34842918,o,3,2016,756o,0.068487,0.170819,5.222222,0.085167,9
4.38302322,0.687190623,-30 to -60m,754,754o,169.8085011,68.71906232,o,3,2016,754o,0.068487,0.176895,5.174603,0.084564,9
4.749261638,0.832841337,-30 to -60m,752,752o,205.7995763,83.28413371,o,3,2016,752o,0.068487,0.152091,4.809524,0.083136,9
5.216938019,0.908859415,-30 to -60m,750,750o,224.5840525,90.88594154,o,3,2016,750o,0.068487,0.139013,4.031746,0.080928,9
5.192541416,0.865836675,-30 to -60m,748,748o,213.9529019,86.58366753,o,3,2016,748o,0.049744,0.132492,5.698413,0.07809,9
5.624722133,1.142069261,-30 to -60m,746,746o,282.2114605,114.2069261,o,3,2016,746o,0.049744,0.128205,6.285714,0.074946,9
6.034154103,1.062883902,-30 to -60m,744,744o,262.644332,106.2883902,o,3,2016,744o,0.049744,0.134565,6.825397,0.071649,9
5.975435681,0.822990873,-30 to -60m,742,742o,203.3654736,82.2990873,o,3,2016,742o,0.049744,0.154242,7.126984,0.068402,9
6.029607323,1.060531946,-30 to -60m,739,739o,262.0631511,106.0531946,o,3,2016,739o,0.033577,0.146409,6.587302,0.063727,9
5.430741326,0.623976068,-30 to -60m,737,737o,154.1878444,62.39760682,o,3,2016,737o,0,0.166667,6.111111,0.060867,9
5.042751221,0.474959655,-30 to -60m,735,735o,117.3650867,47.49596547,o,3,2016,735o,0,0.183801,6.031746,0.058286,9
5.037593255,0.557171383,-30 to -60m,731,731o,137.680047,55.71713826,o,3,2016,731o,0,0.186916,6.047619,0.053719,8
3.647128737,0.648866655,-30 to -60m,726,726o,160.3384422,64.88666546,o,3,2016,726o,0,0.278027,4.52381,0.048328,8
4.825024614,0.762188934,-30 to -60m,728,728o,188.3409873,76.21889339,o,3,2016,728o,0,0.216949,5.698413,0.050439,8
3.842569835,0.491794151,-30 to -60m,724,724o,121.5249814,49.17941515,o,3,2016,724o,0,0.3083,5.253968,0.046238,8
4.391196302,0.707629928,-30 to -60m,721,721o,174.8591634,70.76299283,o,3,2016,721o,0.020586,0.293436,5.31746,0.042692,8
4.983858536,0.885770129,-30 to -60m,719,719o,218.8785656,88.57701288,o,3,2016,719o,0.039017,0.275261,5.809524,0.039928,8
5.096612931,0.879393855,-30 to -60m,717,717o,217.3029541,87.93938552,o,3,2016,717o,0.449039,0.250765,6.492063,0.037288,8
5.079620033,0.997828243,-30 to -60m,715,715o,246.5687285,99.78282426,o,3,2016,715o,0.574834,0.221184,6.222222,0.035239,8
4.516197832,0.836056267,-30 to -60m,713,713o,206.5940027,83.60562668,o,3,2016,713o,0.574834,0.211039,5.920635,0.033944,8
4.196742703,0.73159424,-30 to -60m,711,711o,180.7808738,73.15942401,o,3,2016,711o,0.574834,0.210702,5.746032,0.033475,8
3.929896609,0.687022735,-30 to -60m,709,709o,169.767015,68.7022735,o,3,2016,709o,0.574834,0.20678,5.650794,0.033863,8
4.131000065,0.80076235,-30 to -60m,707,707o,197.8726859,80.07623498,o,3,2016,707o,0.574834,0.200743,5.126984,0.03513,8
4.745647738,1.035388981,-30 to -60m,705,705o,255.850189,103.5388981,o,3,2016,705o,0.574834,0.17037,5.015873,0.037185,8
4.970532372,1.162657055,-30 to -60m,703,703o,287.2988151,116.2657055,o,3,2016,703o,0.574834,0.132231,4.349206,0.039799,8
4.930811989,1.035709156,-30 to -60m,701,701o,255.9293061,103.5709156,o,3,2016,701o,0.574834,0.10582,3.31746,0.042823,8
6.309174564,1.390904703,-30 to -60m,699,699o,343.7000372,139.0904703,o,3,2016,699o,0.603521,0.10929,3.222222,0.046255,8
6.327933839,1.471324261,0 to -30m,697,697n,363.5721429,147.1324261,n,2,2016,697n,3.934241,0.098131,3.730159,0.049816,8
4.74606511,0.784557065,0 to -30m,695,695n,193.8682729,78.45570651,n,2,2016,695n,3.791118,0.11413,3.253968,0.053055,8
4.01574653,0.470616353,0 to -30m,693,693n,116.2918335,47.06163534,n,2,2016,693n,3.718317,0.114286,3.095238,0.055619,8
4.070690018,0.707158363,0 to -30m,691,691n,174.7426371,70.71583633,n,2,2016,691n,3.839647,0.113636,3.111111,0.057458,8
4.214714285,0.679267374,0 to -30m,689,689n,167.8506236,67.9267374,n,2,2016,689n,4.625831,0.087558,3.746032,0.058621,8
3.93754788,0.64969139,0 to -30m,687,687n,160.5422389,64.96913904,n,2,2016,687n,5.769077,0.063604,4.777778,0.05912,8
4.680177771,0.854662687,0 to -30m,685,685n,211.1917494,85.46626874,n,2,2016,685n,7.131672,0.070225,6.047619,0.059048,8
